timestamp,getOdometryRot,getOdometryY,getOdometryX
16.28873,0.0,0.0,0.0
16.290038,0.0,0.0,0.0
16.297648,0.0,0.0,0.0
16.316272,0.0,0.0,0.0
16.336665,0.0,0.0,0.0
16.356171,0.0,0.0,0.0
16.376455,0.0,0.0,0.0
16.40111,0.0,0.0,0.0
16.416419,0.0,0.0,0.0
16.438022,0.0,0.0,0.0
16.456357,0.0,0.0,0.0
16.477484,0.0,0.0,0.0
16.4969,0.0,0.0,0.0
16.516164,0.0,0.0,0.0
16.53654,0.0,0.0,0.0
16.556117,0.0,0.0,0.0
16.576928,0.0,0.0,0.0
16.597681,0.0,0.0,0.0
16.615896,0.0,0.0,0.0
16.637189,0.0,0.0,0.0
16.656783,0.0,0.0,0.0
16.676069,0.0,0.0,0.0
16.696854,0.0,0.0,0.0
16.716186,0.0,0.0,0.0
16.736413,0.0,0.0,0.0
16.756479,0.0,0.0,0.0
16.776028,0.0,0.0,0.0
16.796458,0.0,0.0,0.0
16.816528,0.0,0.0,0.0
16.836073,0.0,0.0,0.0
16.85633,0.0,0.0,0.0
16.8769,0.0,0.0,0.0
16.897113,0.0,0.0,0.0
16.91706,0.0,0.0,0.0
16.937252,0.0,0.0,0.0
16.956178,0.0,0.0,0.0
16.97738,0.0,0.0,0.0
16.996143,0.0,0.0,0.0
17.016882,0.0,0.0,0.0
17.036002,0.0,0.0,0.0
17.057046,0.0,0.0,0.0
17.07758,0.0,0.0,0.0
17.09684,0.0,0.0,0.0
17.116126,0.0,0.0,0.0
17.136244,0.0,0.0,0.0
17.156305,0.0,0.0,0.0
17.177264,0.0,0.0,0.0
17.197075,0.0,0.0,0.0
17.216611,0.0,0.0,0.0
17.238031,0.0,0.0,0.0
17.256703,0.0,0.0,0.0
17.276376,0.0,0.0,0.0
17.297851,0.0,0.0,0.0
17.316017,0.0,0.0,0.0
17.33686,0.0,0.0,0.0
17.356962,0.0,0.0,0.0
17.376165,0.0,0.0,0.0
17.39658,0.0,0.0,0.0
17.416391,0.0,0.0,0.0
17.436551,0.0,0.0,0.0
17.457104,3.0,3.0,3.0
17.477752,3.0,3.0,3.0
17.496186,3.0,3.0,3.0
17.516192,3.0,3.0,3.0
17.536989,3.0,3.0,3.0
17.556607,3.0,3.0,3.0
17.576169,3.0,3.0,3.0
17.596638,3.0,3.0,3.0
17.615736,3.0,3.0,3.0
17.636322,3.0,3.0,3.0
17.656899,3.0,3.0,3.0
17.676841,3.0,3.0,3.0
17.697365,3.0,3.0,3.0
